epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
28,1470.18,1.22328,1.79751,0.91073,0.00966,0.67018,0.77044,0.67123,0.75996,0.4774,0.78644,0.67731,0.76381,0.48134,1.45949,2.14934,1.20646,0.0148,0,0.000882599,0.000882599,0.000882599
29,1525.92,1.18687,1.7277,0.82139,0.00923,0.68392,0.79312,0.59107,0.71951,0.44517,0.72107,0.62679,0.71055,0.45173,1.49579,2.32939,1.27114,0.0154,0,0.000874141,0.000874141,0.000874141
30,1576.83,1.17737,1.70218,0.83724,0.00956,0.71839,0.72596,0.64808,0.72371,0.42976,0.71269,0.64286,0.71598,0.43189,1.51227,2.19424,1.24434,0.01545,0,0.000865433,0.000865433,0.000865433
31,1627.57,1.19776,1.73156,0.83469,0.00928,0.64039,0.77336,0.66786,0.75395,0.45439,0.77336,0.66786,0.74755,0.46991,1.52861,2.16846,1.23967,0.01555,0,0.000856482,0.000856482,0.000856482
32,1678.02,1.17591,1.73811,0.81477,0.00917,0.63972,0.75542,0.66184,0.74507,0.4438,0.73209,0.6734,0.73714,0.45875,1.48192,2.25583,1.37781,0.01516,0,0.000847294,0.000847294,0.000847294
33,1727.59,1.14861,1.73668,0.82676,0.0092,0.62015,0.71849,0.66607,0.7188,0.44274,0.77947,0.62486,0.7117,0.45334,1.51748,2.21896,1.38771,0.01551,0,0.000837874,0.000837874,0.000837874
34,1778.06,1.1523,1.67087,0.83838,0.00894,0.64529,0.74035,0.68393,0.75218,0.45146,0.73109,0.65357,0.73144,0.46154,1.46252,2.21469,1.21895,0.01489,0,0.00082823,0.00082823,0.00082823
35,1828.55,1.16084,1.68519,0.81646,0.00916,0.60978,0.7526,0.66272,0.74517,0.45727,0.75665,0.66629,0.75238,0.46888,1.45655,2.18727,1.1673,0.015,0,0.000818367,0.000818367,0.000818367
36,1879.5,1.12393,1.66059,0.80331,0.00908,0.59579,0.75634,0.5625,0.66767,0.41326,0.76156,0.56429,0.66604,0.41871,1.49205,2.36298,1.4604,0.01525,0,0.000808293,0.000808293,0.000808293
37,1931.59,1.16242,1.6515,0.80868,0.00933,0.60568,0.70237,0.65357,0.70371,0.43127,0.71103,0.6625,0.7032,0.44508,1.51272,2.25394,1.33687,0.01578,0,0.000798015,0.000798015,0.000798015
38,1984.02,1.15995,1.67726,0.78057,0.00904,0.62104,0.65875,0.68929,0.68293,0.41186,0.66661,0.69821,0.69521,0.42331,1.55279,2.41848,1.28361,0.01611,0,0.000787539,0.000787539,0.000787539
39,2035.5,1.13552,1.63794,0.77602,0.009,0.60767,0.72658,0.65179,0.7168,0.42346,0.73056,0.65536,0.72124,0.45268,1.54656,2.15855,1.31316,0.01612,0,0.000776873,0.000776873,0.000776873
40,2086.58,1.13436,1.6258,0.79068,0.00895,0.59861,0.68307,0.69286,0.7163,0.43114,0.70363,0.65357,0.70035,0.43938,1.48098,2.27517,1.25197,0.01503,0,0.000766024,0.000766024,0.000766024
41,2137.2,1.1231,1.62241,0.77189,0.00916,0.60798,0.73675,0.6375,0.72178,0.44551,0.74057,0.65179,0.72411,0.46216,1.48077,2.24625,1.25588,0.01478,0,0.000755,0.000755,0.000755
42,2187.74,1.12038,1.65204,0.7636,0.00871,0.56248,0.80149,0.62321,0.74706,0.45493,0.7951,0.63036,0.73761,0.46625,1.48208,2.27918,1.17521,0.0153,0,0.000743808,0.000743808,0.000743808
